Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C4, C7",C0603,4,C0603C104K3PACTU,
"C11, C12, C2, C3, C5, C6, C8, C9",EEE1AA220WR,8,EEE1HA4R7WAR,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
"IC1, IC2, IC3, IC4",SOIC127P1030X265-8N,4,1ED3122MU12HXUMA1,
J1,691213510002,1,691213510002,
J2,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,
J3,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08_Pin,
"PS1, PS2, PS3, PS4",R12P21503D,4,R12P21503D,
"R1, R3, R5, R7",RCS0603_E3,4,RCS060310R0JNEA,
"R2, R4, R6, R8",ERJUP3,4,ERJ-UP3J3R3V,
